License Type,License Number,Business County,Business Name,Business Address Line1,Business Address Line2,Business City State Zip,Business Telephone,License Expiration Date,Owner Name,Mailing Address Line1,Mailing Address Line2,Mailing Address City State Zip,Mailing Address County,Owner Telephone,License Subtype,Continuing Education Flag,Longitude,Latitude
Full Service Establishment,508016,HARRIS,MARY'S BEAUTY SHOP,12218 LLOYD,,CROSBY TX 77532,2813281667,02/28/2027,MARY'S BEAUTY SHOP,12218 LLOYD ST,,CROSBY TX 77532-2611,HARRIS,2813281667,CS,Y,-95.063605,29.871168
Full Service Establishment,508735,HIDALGO,JULIE'S BEAUTY SHOP,1019 WEST HIGHWAY 83 BUS,,ALAMO TX 78516,9567876513,01/31/2027,JULIE'S BEAUTY SHOP,1019 W US HIGHWAY 83,,ALAMO TX 78516-2530,HIDALGO,9567876513,CS,Y,-98.12274,26.18303
Full Service Establishment,509824,TITUS,ARGO BEAUTY SALON,6 MI ON FARM RD 1001 OUT OF,MT PLEASANT,COOKVILLE TX 75558,9035630502,12/31/2026,ARGO BEAUTY SALON,26 COUNTY ROAD 3370,,COOKVILLE TX 75558-3017,TITUS,9035630502,CS,Y,-94.85233,33.173412
Full Service Establishment,509878,BEXAR,ROBERTS HAIR FASHIONS,409 EAST AVIATION,,UNIVERSAL CITY TX 78148,2106583169,04/30/2027,ROBERTS HAIR FASHIONS,409 E AVIATION BLVD,,UNIVERSAL CITY TX 78148-4503,BEXAR,2106583169,CS,Y,-98.284079,29.547399
Full Service Establishment,509992,DUVAL,LELA'S BEAUTY SHOP,226 PALACIOS STREET,,BENAVIDES TX 78341,3612563526,10/31/2025,LELA'S BEAUTY SHOP,PO BOX 610,,BENAVIDES TX 78341-0610,DUVAL,3612563526,CS,Y,-98.41065,27.59338
Full Service Establishment,510096,COMAL,HI-FASHION BEAUTY SALON,1788 BUSINESS 35 S,,NEW BRAUNFELS TX 78130,8306250211,02/28/2027,HI-FASHION BEAUTY SALON,1788 S BUSINESS IH 35,,NEW BRAUNFELS TX 78130-6468,COMAL,8306250211,CS,Y,-98.12598,29.68999
Full Service Establishment,510427,CHILDRESS,THE ROSE BOWL,404 FOURTH NORTH EAST,,CHILDRESS TX 79201,9409378862,03/31/2028,THE ROSE BOWL,404 4TH ST NE,,CHILDRESS TX 79201-3812,CHILDRESS,9409378862,CS,Y,-100.204471,34.426434
Full Service Establishment,510765,LAVACA,JOAN'S BEAUTY SALON,1714 CR 355,HWY 95 N RIGHT ON HILLTOP,SHINER TX 77984,3615944530,01/31/2028,JOAN'S BEAUTY SALON,1714 COUNTY ROAD 355,,SHINER TX 77984-5745,LAVACA,3615944530,CS,Y,-97.157763,29.43368
Full Service Establishment,511244,ECTOR,BACKSTAGE HAIR DESIGN,5000 E UNIVERSITY #10-A,,ODESSA TX 79762,4325535402,12/31/2024,BACKSTAGE HAIR DESIGN,3004 RUSSELL RD,,ARLINGTON TX 76001-6917,ECTOR,4325535402,CS,Y,-102.317871,31.881876
Full Service Establishment,511441,SAN PATRICIO,MARY ALICE'S BEAUTY SALON,122 NORTH JANIN CIRCLE,,PORTLAND TX 78374,3616436856,09/30/2026,MARY ALICE'S BEAUTY SALON,122 N JANIN CIR,,PORTLAND TX 78374-1412,SAN PATRICIO,3616436856,CS,Y,-97.31679,27.876722
